Function,File,Line,Type,Description
generate_pgrep_output,./tests/unit/plugins/process_plugin_test.sh,42,standard,Function definition
generate_ps_output,./tests/unit/plugins/process_plugin_test.sh,59,standard,Function definition
generate_ps_aux_output,./tests/unit/plugins/process_plugin_test.sh,73,standard,Function definition
setup_process_test,./tests/unit/plugins/process_plugin_test.sh,87,standard,Function definition
teardown_process_test,./tests/unit/plugins/process_plugin_test.sh,100,standard,Function definition
test_process_plugin_info,./tests/unit/plugins/process_plugin_test.sh,107,standard,Function definition
test_process_plugin_configure_valid,./tests/unit/plugins/process_plugin_test.sh,120,standard,Function definition
test_process_plugin_check_pgrep,./tests/unit/plugins/process_plugin_test.sh,160,standard,Function definition
test_process_plugin_check_ps_fallback,./tests/unit/plugins/process_plugin_test.sh,219,standard,Function definition
test_process_plugin_check_missing_processes,./tests/unit/plugins/process_plugin_test.sh,277,standard,Function definition
test_process_plugin_check_no_commands,./tests/unit/plugins/process_plugin_test.sh,338,standard,Function definition
test_process_plugin_check_spaces_in_names,./tests/unit/plugins/process_plugin_test.sh,371,standard,Function definition
test_process_plugin_check_empty_list,./tests/unit/plugins/process_plugin_test.sh,428,standard,Function definition
test_process_plugin_check_json_output,./tests/unit/plugins/process_plugin_test.sh,458,standard,Function definition
test_process_plugin_check_thresholds,./tests/unit/plugins/process_plugin_test.sh,541,standard,Function definition
test_process_plugin_check_performance,./tests/unit/plugins/process_plugin_test.sh,613,standard,Function definition
test_process_plugin_check_regex_patterns,./tests/unit/plugins/process_plugin_test.sh,655,standard,Function definition
test_process_plugin_check_detailed_info,./tests/unit/plugins/process_plugin_test.sh,709,standard,Function definition
test_process_plugin_check_array_handling,./tests/unit/plugins/process_plugin_test.sh,779,standard,Function definition
run_process_plugin_tests,./tests/unit/plugins/process_plugin_test.sh,842,standard,Function definition
test_pass,./tests/unit/plugins/disk_plugin_test.sh,26,standard,Function definition
test_fail,./tests/unit/plugins/disk_plugin_test.sh,33,standard,Function definition
generate_df_output,./tests/unit/plugins/disk_plugin_test.sh,42,standard,Function definition
generate_df_output_multiple,./tests/unit/plugins/disk_plugin_test.sh,56,standard,Function definition
generate_df_output_macos,./tests/unit/plugins/disk_plugin_test.sh,70,standard,Function definition
setup_disk_test,./tests/unit/plugins/disk_plugin_test.sh,86,standard,Function definition
teardown_disk_test,./tests/unit/plugins/disk_plugin_test.sh,101,standard,Function definition
test_disk_plugin_info,./tests/unit/plugins/disk_plugin_test.sh,108,standard,Function definition
test_disk_plugin_configure_valid,./tests/unit/plugins/disk_plugin_test.sh,121,standard,Function definition
test_disk_plugin_check_basic,./tests/unit/plugins/disk_plugin_test.sh,162,standard,Function definition
test_disk_plugin_check_multiple_filesystems,./tests/unit/plugins/disk_plugin_test.sh,192,standard,Function definition
test_disk_plugin_check_filesystem_exclusions,./tests/unit/plugins/disk_plugin_test.sh,249,standard,Function definition
test_disk_plugin_check_mount_exclusions,./tests/unit/plugins/disk_plugin_test.sh,310,standard,Function definition
test_disk_plugin_check_specific_path,./tests/unit/plugins/disk_plugin_test.sh,371,standard,Function definition
test_disk_plugin_check_macos_compatibility,./tests/unit/plugins/disk_plugin_test.sh,422,standard,Function definition
test_disk_plugin_check_df_failure,./tests/unit/plugins/disk_plugin_test.sh,465,standard,Function definition
test_disk_plugin_check_full_disk,./tests/unit/plugins/disk_plugin_test.sh,503,standard,Function definition
test_disk_plugin_check_invalid_percentage,./tests/unit/plugins/disk_plugin_test.sh,543,standard,Function definition
test_disk_plugin_check_json_output,./tests/unit/plugins/disk_plugin_test.sh,586,standard,Function definition
test_disk_plugin_check_performance,./tests/unit/plugins/disk_plugin_test.sh,652,standard,Function definition
test_disk_plugin_check_fallback,./tests/unit/plugins/disk_plugin_test.sh,690,standard,Function definition
test_disk_plugin_check_mount_array,./tests/unit/plugins/disk_plugin_test.sh,723,standard,Function definition
run_disk_plugin_tests,./tests/unit/plugins/disk_plugin_test.sh,777,standard,Function definition
setup_network_failure_tests,./tests/unit/error_handling/network_failure_test.sh,30,standard,Function definition
cleanup_network_failure_tests,./tests/unit/error_handling/network_failure_test.sh,49,standard,Function definition
test_slack_network_failure,./tests/unit/error_handling/network_failure_test.sh,56,standard,Function definition
test_teams_network_failure,./tests/unit/error_handling/network_failure_test.sh,93,standard,Function definition
test_email_smtp_failure,./tests/unit/error_handling/network_failure_test.sh,130,standard,Function definition
test_notification_timeout,./tests/unit/error_handling/network_failure_test.sh,167,standard,Function definition
test_dns_resolution_failure,./tests/unit/error_handling/network_failure_test.sh,213,standard,Function definition
test_retry_mechanism,./tests/unit/error_handling/network_failure_test.sh,250,standard,Function definition
test_fallback_notification,./tests/unit/error_handling/network_failure_test.sh,313,standard,Function definition
test_network_recovery,./tests/unit/error_handling/network_failure_test.sh,354,standard,Function definition
main,./tests/unit/error_handling/network_failure_test.sh,399,standard,Function definition
setup_disk_full_tests,./tests/unit/error_handling/disk_full_test.sh,28,standard,Function definition
cleanup_disk_full_tests,./tests/unit/error_handling/disk_full_test.sh,42,standard,Function definition
test_disk_full_monitoring,./tests/unit/error_handling/disk_full_test.sh,49,standard,Function definition
test_log_rotation_disk_full,./tests/unit/error_handling/disk_full_test.sh,88,standard,Function definition
test_config_access_disk_full,./tests/unit/error_handling/disk_full_test.sh,125,standard,Function definition
test_temp_file_disk_full,./tests/unit/error_handling/disk_full_test.sh,175,standard,Function definition
test_disk_usage_calculation,./tests/unit/error_handling/disk_full_test.sh,212,standard,Function definition
test_disk_full_error_messages,./tests/unit/error_handling/disk_full_test.sh,253,standard,Function definition
main,./tests/unit/error_handling/disk_full_test.sh,293,standard,Function definition
setup_permission_tests,./tests/unit/error_handling/permission_denied_test.sh,27,standard,Function definition
cleanup_permission_tests,./tests/unit/error_handling/permission_denied_test.sh,50,standard,Function definition
test_file_read_permission,./tests/unit/error_handling/permission_denied_test.sh,63,standard,Function definition
test_file_write_permission,./tests/unit/error_handling/permission_denied_test.sh,95,standard,Function definition
test_directory_read_permission,./tests/unit/error_handling/permission_denied_test.sh,122,standard,Function definition
test_directory_write_permission,./tests/unit/error_handling/permission_denied_test.sh,154,standard,Function definition
test_log_file_permissions,./tests/unit/error_handling/permission_denied_test.sh,182,standard,Function definition
test_config_file_permissions,./tests/unit/error_handling/permission_denied_test.sh,219,standard,Function definition
test_temp_directory_permissions,./tests/unit/error_handling/permission_denied_test.sh,264,standard,Function definition
test_permission_escalation_prevention,./tests/unit/error_handling/permission_denied_test.sh,300,standard,Function definition
main,./tests/unit/error_handling/permission_denied_test.sh,346,standard,Function definition
test_pass,./tests/unit/notifications/notifications_teams_test.sh,30,standard,Function definition
test_fail,./tests/unit/notifications/notifications_teams_test.sh,37,standard,Function definition
generate_valid_teams_response,./tests/unit/notifications/notifications_teams_test.sh,46,standard,Function definition
generate_error_teams_response,./tests/unit/notifications/notifications_teams_test.sh,50,standard,Function definition
generate_test_webhook_url,./tests/unit/notifications/notifications_teams_test.sh,54,standard,Function definition
generate_invalid_webhook_url,./tests/unit/notifications/notifications_teams_test.sh,58,standard,Function definition
generate_test_json_metrics,./tests/unit/notifications/notifications_teams_test.sh,62,standard,Function definition
generate_test_alert_data,./tests/unit/notifications/notifications_teams_test.sh,66,standard,Function definition
setup_teams_test,./tests/unit/notifications/notifications_teams_test.sh,77,standard,Function definition
teardown_teams_test,./tests/unit/notifications/notifications_teams_test.sh,90,standard,Function definition
test_teams_provider_info,./tests/unit/notifications/notifications_teams_test.sh,97,standard,Function definition
test_teams_provider_configure_valid,./tests/unit/notifications/notifications_teams_test.sh,114,standard,Function definition
test_teams_provider_configure_missing_webhook,./tests/unit/notifications/notifications_teams_test.sh,151,standard,Function definition
test_teams_provider_configure_invalid_webhook,./tests/unit/notifications/notifications_teams_test.sh,178,standard,Function definition
test_teams_provider_send_success,./tests/unit/notifications/notifications_teams_test.sh,204,standard,Function definition
test_teams_provider_send_curl_failure,./tests/unit/notifications/notifications_teams_test.sh,232,standard,Function definition
test_teams_provider_send_api_error,./tests/unit/notifications/notifications_teams_test.sh,255,standard,Function definition
test_teams_provider_send_no_curl,./tests/unit/notifications/notifications_teams_test.sh,278,standard,Function definition
test_teams_provider_send_different_statuses,./tests/unit/notifications/notifications_teams_test.sh,301,standard,Function definition
test_teams_provider_send_complex_metrics,./tests/unit/notifications/notifications_teams_test.sh,329,standard,Function definition
test_teams_provider_send_invalid_json,./tests/unit/notifications/notifications_teams_test.sh,354,standard,Function definition
test_teams_provider_send_empty_metrics,./tests/unit/notifications/notifications_teams_test.sh,379,standard,Function definition
test_teams_provider_test,./tests/unit/notifications/notifications_teams_test.sh,399,standard,Function definition
test_teams_provider_validate_valid,./tests/unit/notifications/notifications_teams_test.sh,419,standard,Function definition
test_teams_provider_validate_no_curl,./tests/unit/notifications/notifications_teams_test.sh,440,standard,Function definition
test_teams_provider_validate_invalid_webhook,./tests/unit/notifications/notifications_teams_test.sh,460,standard,Function definition
test_teams_provider_validate_disabled,./tests/unit/notifications/notifications_teams_test.sh,480,standard,Function definition
test_teams_provider_status,./tests/unit/notifications/notifications_teams_test.sh,500,standard,Function definition
test_teams_provider_timeout_configuration,./tests/unit/notifications/notifications_teams_test.sh,527,standard,Function definition
test_teams_provider_send_long_message,./tests/unit/notifications/notifications_teams_test.sh,556,standard,Function definition
test_teams_provider_send_special_characters,./tests/unit/notifications/notifications_teams_test.sh,582,standard,Function definition
test_teams_provider_send_unicode_characters,./tests/unit/notifications/notifications_teams_test.sh,605,standard,Function definition
test_teams_provider_configure_precedence,./tests/unit/notifications/notifications_teams_test.sh,628,standard,Function definition
test_teams_provider_send_performance,./tests/unit/notifications/notifications_teams_test.sh,659,standard,Function definition
teams_multiple_sends,./tests/unit/notifications/notifications_teams_test.sh,689,standard,Function definition
test_teams_provider_integration,./tests/unit/notifications/notifications_teams_test.sh,700,standard,Function definition
run_teams_tests,./tests/unit/notifications/notifications_teams_test.sh,739,standard,Function definition
test_pass,./tests/unit/notifications/notifications_slack_test.sh,30,standard,Function definition
test_fail,./tests/unit/notifications/notifications_slack_test.sh,37,standard,Function definition
generate_valid_slack_response,./tests/unit/notifications/notifications_slack_test.sh,46,standard,Function definition
generate_error_slack_response,./tests/unit/notifications/notifications_slack_test.sh,50,standard,Function definition
generate_test_webhook_url,./tests/unit/notifications/notifications_slack_test.sh,54,standard,Function definition
generate_invalid_webhook_url,./tests/unit/notifications/notifications_slack_test.sh,58,standard,Function definition
generate_test_json_metrics,./tests/unit/notifications/notifications_slack_test.sh,62,standard,Function definition
generate_test_alert_data,./tests/unit/notifications/notifications_slack_test.sh,66,standard,Function definition
generate_complex_metrics,./tests/unit/notifications/notifications_slack_test.sh,75,standard,Function definition
setup_slack_test,./tests/unit/notifications/notifications_slack_test.sh,104,standard,Function definition
teardown_slack_test,./tests/unit/notifications/notifications_slack_test.sh,119,standard,Function definition
test_slack_provider_info,./tests/unit/notifications/notifications_slack_test.sh,126,standard,Function definition
test_slack_provider_configure_valid,./tests/unit/notifications/notifications_slack_test.sh,143,standard,Function definition
test_slack_provider_configure_minimal,./tests/unit/notifications/notifications_slack_test.sh,186,standard,Function definition
test_slack_provider_configure_missing_webhook,./tests/unit/notifications/notifications_slack_test.sh,217,standard,Function definition
test_slack_provider_configure_invalid_webhook,./tests/unit/notifications/notifications_slack_test.sh,244,standard,Function definition
test_slack_provider_configure_nonexistent,./tests/unit/notifications/notifications_slack_test.sh,270,standard,Function definition
test_slack_provider_configure_empty,./tests/unit/notifications/notifications_slack_test.sh,285,standard,Function definition
test_slack_provider_send_success,./tests/unit/notifications/notifications_slack_test.sh,305,standard,Function definition
test_slack_provider_send_curl_failure,./tests/unit/notifications/notifications_slack_test.sh,335,standard,Function definition
test_slack_provider_send_api_error,./tests/unit/notifications/notifications_slack_test.sh,358,standard,Function definition
test_slack_provider_send_no_curl,./tests/unit/notifications/notifications_slack_test.sh,381,standard,Function definition
test_slack_provider_send_no_jq,./tests/unit/notifications/notifications_slack_test.sh,404,standard,Function definition
test_slack_provider_send_different_statuses,./tests/unit/notifications/notifications_slack_test.sh,430,standard,Function definition
test_slack_provider_send_basic_metrics,./tests/unit/notifications/notifications_slack_test.sh,459,standard,Function definition
test_slack_provider_send_complex_metrics,./tests/unit/notifications/notifications_slack_test.sh,484,standard,Function definition
test_slack_provider_send_empty_metrics,./tests/unit/notifications/notifications_slack_test.sh,510,standard,Function definition
test_slack_provider_send_invalid_json,./tests/unit/notifications/notifications_slack_test.sh,530,standard,Function definition
test_slack_provider_send_text_details,./tests/unit/notifications/notifications_slack_test.sh,555,standard,Function definition
test_slack_provider_test,./tests/unit/notifications/notifications_slack_test.sh,577,standard,Function definition
test_slack_provider_validate_valid,./tests/unit/notifications/notifications_slack_test.sh,597,standard,Function definition
test_slack_provider_validate_no_curl,./tests/unit/notifications/notifications_slack_test.sh,618,standard,Function definition
test_slack_provider_validate_invalid_webhook,./tests/unit/notifications/notifications_slack_test.sh,638,standard,Function definition
test_slack_provider_validate_disabled,./tests/unit/notifications/notifications_slack_test.sh,658,standard,Function definition
test_slack_provider_status,./tests/unit/notifications/notifications_slack_test.sh,678,standard,Function definition
test_slack_provider_payload_structure,./tests/unit/notifications/notifications_slack_test.sh,708,standard,Function definition
test_slack_provider_field_validation,./tests/unit/notifications/notifications_slack_test.sh,759,standard,Function definition
test_slack_provider_config_in_payload,./tests/unit/notifications/notifications_slack_test.sh,782,standard,Function definition
test_slack_provider_send_webhook_timeout,./tests/unit/notifications/notifications_slack_test.sh,810,standard,Function definition
test_slack_provider_send_invalid_url_response,./tests/unit/notifications/notifications_slack_test.sh,834,standard,Function definition
test_slack_provider_send_large_payload,./tests/unit/notifications/notifications_slack_test.sh,861,standard,Function definition
test_slack_provider_send_special_characters,./tests/unit/notifications/notifications_slack_test.sh,897,standard,Function definition
test_slack_provider_send_performance,./tests/unit/notifications/notifications_slack_test.sh,922,standard,Function definition
slack_multiple_sends,./tests/unit/notifications/notifications_slack_test.sh,951,standard,Function definition
run_slack_tests,./tests/unit/notifications/notifications_slack_test.sh,961,standard,Function definition
test_pass,./tests/unit/notifications/notifications_email_test.sh,30,standard,Function definition
test_fail,./tests/unit/notifications/notifications_email_test.sh,37,standard,Function definition
generate_valid_smtp_config,./tests/unit/notifications/notifications_email_test.sh,46,standard,Function definition
generate_invalid_smtp_config,./tests/unit/notifications/notifications_email_test.sh,59,standard,Function definition
generate_test_email_content,./tests/unit/notifications/notifications_email_test.sh,71,standard,Function definition
generate_test_alert_data,./tests/unit/notifications/notifications_email_test.sh,91,standard,Function definition
setup_email_test,./tests/unit/notifications/notifications_email_test.sh,102,standard,Function definition
teardown_email_test,./tests/unit/notifications/notifications_email_test.sh,121,standard,Function definition
test_email_provider_info,./tests/unit/notifications/notifications_email_test.sh,128,standard,Function definition
test_email_provider_configure_valid,./tests/unit/notifications/notifications_email_test.sh,145,standard,Function definition
test_email_provider_configure_missing_smtp,./tests/unit/notifications/notifications_email_test.sh,182,standard,Function definition
test_email_provider_configure_invalid_emails,./tests/unit/notifications/notifications_email_test.sh,211,standard,Function definition
test_email_provider_send_success,./tests/unit/notifications/notifications_email_test.sh,241,standard,Function definition
test_email_provider_send_no_mail_command,./tests/unit/notifications/notifications_email_test.sh,272,standard,Function definition
test_email_provider_send_different_commands,./tests/unit/notifications/notifications_email_test.sh,297,standard,Function definition
test_email_provider_send_different_statuses,./tests/unit/notifications/notifications_email_test.sh,329,standard,Function definition
test_email_provider_send_complex_metrics,./tests/unit/notifications/notifications_email_test.sh,359,standard,Function definition
test_email_provider_send_special_characters,./tests/unit/notifications/notifications_email_test.sh,383,standard,Function definition
test_email_provider_send_unicode_characters,./tests/unit/notifications/notifications_email_test.sh,408,standard,Function definition
test_email_provider_test,./tests/unit/notifications/notifications_email_test.sh,433,standard,Function definition
test_email_provider_validate_valid,./tests/unit/notifications/notifications_email_test.sh,455,standard,Function definition
test_email_provider_validate_no_mail,./tests/unit/notifications/notifications_email_test.sh,478,standard,Function definition
test_email_provider_validate_invalid_emails,./tests/unit/notifications/notifications_email_test.sh,500,standard,Function definition
test_email_provider_status,./tests/unit/notifications/notifications_email_test.sh,522,standard,Function definition
test_email_provider_send_multiple_recipients,./tests/unit/notifications/notifications_email_test.sh,551,standard,Function definition
test_email_provider_send_custom_subject,./tests/unit/notifications/notifications_email_test.sh,576,standard,Function definition
test_email_provider_send_smtp_auth,./tests/unit/notifications/notifications_email_test.sh,602,standard,Function definition
test_email_provider_send_performance,./tests/unit/notifications/notifications_email_test.sh,632,standard,Function definition
email_multiple_sends,./tests/unit/notifications/notifications_email_test.sh,663,standard,Function definition
test_email_provider_template_processing,./tests/unit/notifications/notifications_email_test.sh,672,standard,Function definition
test_email_provider_configure_precedence,./tests/unit/notifications/notifications_email_test.sh,700,standard,Function definition
run_email_tests,./tests/unit/notifications/notifications_email_test.sh,732,standard,Function definition
print_header,./tests/reset_serversentry.sh,44,standard,Function definition
print_success,./tests/reset_serversentry.sh,48,standard,Function definition
print_warning,./tests/reset_serversentry.sh,52,standard,Function definition
print_error,./tests/reset_serversentry.sh,56,standard,Function definition
print_info,./tests/reset_serversentry.sh,60,standard,Function definition
print_separator,./tests/reset_serversentry.sh,64,standard,Function definition
parse_arguments,./tests/reset_serversentry.sh,75,standard,Function definition
show_help,./tests/reset_serversentry.sh,104,standard,Function definition
execute_command,./tests/reset_serversentry.sh,135,standard,Function definition
execute_command_verbose,./tests/reset_serversentry.sh,149,standard,Function definition
stop_services,./tests/reset_serversentry.sh,161,standard,Function definition
remove_runtime_files,./tests/reset_serversentry.sh,230,standard,Function definition
clear_logs,./tests/reset_serversentry.sh,271,standard,Function definition
clear_cache_and_temp,./tests/reset_serversentry.sh,322,standard,Function definition
reset_plugin_state,./tests/reset_serversentry.sh,371,standard,Function definition
clear_diagnostics,./tests/reset_serversentry.sh,413,standard,Function definition
reset_configuration,./tests/reset_serversentry.sh,441,standard,Function definition
clear_environment,./tests/reset_serversentry.sh,495,standard,Function definition
recreate_directories,./tests/reset_serversentry.sh,521,standard,Function definition
verify_reset,./tests/reset_serversentry.sh,557,standard,Function definition
show_reset_summary,./tests/reset_serversentry.sh,610,standard,Function definition
main,./tests/reset_serversentry.sh,639,standard,Function definition
util_command_exists,./tests/test_framework.sh,68,standard,Function definition
log_debug,./tests/test_framework.sh,73,standard,Function definition
log_info,./tests/test_framework.sh,74,standard,Function definition
log_warning,./tests/test_framework.sh,75,standard,Function definition
log_error,./tests/test_framework.sh,76,standard,Function definition
get_timestamp,./tests/test_framework.sh,79,standard,Function definition
format_bytes,./tests/test_framework.sh,84,standard,Function definition
compat_get_os,./tests/test_framework.sh,100,standard,Function definition
print_success,./tests/test_framework.sh,111,standard,Function definition
print_error,./tests/test_framework.sh,119,standard,Function definition
print_warning,./tests/test_framework.sh,127,standard,Function definition
print_info,./tests/test_framework.sh,135,standard,Function definition
print_header,./tests/test_framework.sh,143,standard,Function definition
print_separator,./tests/test_framework.sh,154,standard,Function definition
print_test_header,./tests/test_framework.sh,159,standard,Function definition
print_test_suite_header,./tests/test_framework.sh,168,standard,Function definition
print_test_suite_summary,./tests/test_framework.sh,176,standard,Function definition
assert_equals,./tests/test_framework.sh,211,standard,Function definition
assert_not_equals,./tests/test_framework.sh,226,standard,Function definition
assert_contains,./tests/test_framework.sh,241,standard,Function definition
assert_not_contains,./tests/test_framework.sh,256,standard,Function definition
assert_true,./tests/test_framework.sh,271,standard,Function definition
assert_false,./tests/test_framework.sh,284,standard,Function definition
assert_file_exists,./tests/test_framework.sh,297,standard,Function definition
assert_file_not_exists,./tests/test_framework.sh,310,standard,Function definition
assert_directory_exists,./tests/test_framework.sh,323,standard,Function definition
assert_command_exists,./tests/test_framework.sh,336,standard,Function definition
assert_exit_code,./tests/test_framework.sh,349,standard,Function definition
assert_numeric_equals,./tests/test_framework.sh,364,standard,Function definition
assert_numeric_greater,./tests/test_framework.sh,386,standard,Function definition
assert_numeric_less,./tests/test_framework.sh,408,standard,Function definition
create_mock_function,./tests/test_framework.sh,432,standard,Function definition
create_mock_file,./tests/test_framework.sh,440,standard,Function definition
remove_mock_file,./tests/test_framework.sh,448,standard,Function definition
create_advanced_mock,./tests/test_framework.sh,454,standard,Function definition
setup_test_environment,./tests/test_framework.sh,463,standard,Function definition
cleanup_test_environment,./tests/test_framework.sh,477,standard,Function definition
cleanup_mocks,./tests/test_framework.sh,488,standard,Function definition
start_timer,./tests/test_framework.sh,504,standard,Function definition
end_timer,./tests/test_framework.sh,513,standard,Function definition
assert_performance,./tests/test_framework.sh,529,standard,Function definition
assert_json_valid,./tests/test_framework.sh,563,standard,Function definition
assert_json_contains,./tests/test_framework.sh,588,standard,Function definition
create_test_config,./tests/test_framework.sh,622,standard,Function definition
mock_curl,./tests/test_framework.sh,634,standard,Function definition
mock_ps,./tests/test_framework.sh,697,standard,Function definition
mock_pgrep,./tests/test_framework.sh,702,standard,Function definition
mock_top,./tests/test_framework.sh,707,standard,Function definition
mock_uname,./tests/test_framework.sh,712,standard,Function definition
mock_df,./tests/test_framework.sh,723,standard,Function definition
mock_du,./tests/test_framework.sh,728,standard,Function definition
mock_free,./tests/test_framework.sh,733,standard,Function definition
mock_vm_stat,./tests/test_framework.sh,738,standard,Function definition
mock_sysctl,./tests/test_framework.sh,743,standard,Function definition
mock_iostat,./tests/test_framework.sh,748,standard,Function definition
mock_uptime,./tests/test_framework.sh,753,standard,Function definition
capture_logs,./tests/test_framework.sh,760,standard,Function definition
stop_log_capture,./tests/test_framework.sh,770,standard,Function definition
assert_log_contains,./tests/test_framework.sh,776,standard,Function definition
run_test,./tests/test_framework.sh,798,standard,Function definition
print_global_summary,./tests/test_framework.sh,815,standard,Function definition
assert,./tests/integration/security_integration_test.sh,31,standard,Function definition
setup_test_environment,./tests/integration/security_integration_test.sh,66,standard,Function definition
cleanup_test_environment,./tests/integration/security_integration_test.sh,77,standard,Function definition
run_test,./tests/integration/basic_test.sh,29,standard,Function definition
setup_high_load_tests,./tests/integration/scenarios/high_load_scenario.sh,35,standard,Function definition
cleanup_high_load_tests,./tests/integration/scenarios/high_load_scenario.sh,52,standard,Function definition
create_cpu_load,./tests/integration/scenarios/high_load_scenario.sh,64,standard,Function definition
create_memory_load,./tests/integration/scenarios/high_load_scenario.sh,79,standard,Function definition
create_disk_load,./tests/integration/scenarios/high_load_scenario.sh,95,standard,Function definition
test_cpu_load_monitoring,./tests/integration/scenarios/high_load_scenario.sh,114,standard,Function definition
test_memory_load_monitoring,./tests/integration/scenarios/high_load_scenario.sh,161,standard,Function definition
test_disk_load_monitoring,./tests/integration/scenarios/high_load_scenario.sh,208,standard,Function definition
test_combined_load_scenario,./tests/integration/scenarios/high_load_scenario.sh,255,standard,Function definition
test_performance_degradation,./tests/integration/scenarios/high_load_scenario.sh,315,standard,Function definition
test_resource_cleanup_under_load,./tests/integration/scenarios/high_load_scenario.sh,356,standard,Function definition
test_logging_under_load,./tests/integration/scenarios/high_load_scenario.sh,397,standard,Function definition
main,./tests/integration/scenarios/high_load_scenario.sh,437,standard,Function definition
print_usage,./tests/run_enhanced_tests.sh,48,standard,Function definition
list_test_suites,./tests/run_enhanced_tests.sh,71,standard,Function definition
collect_test_files,./tests/run_enhanced_tests.sh,123,standard,Function definition
run_test_suite_enhanced,./tests/run_enhanced_tests.sh,166,standard,Function definition
run_category_tests,./tests/run_enhanced_tests.sh,251,standard,Function definition
generate_html_report,./tests/run_enhanced_tests.sh,274,standard,Function definition
print_comprehensive_summary,./tests/run_enhanced_tests.sh,402,standard,Function definition
check_prerequisites,./tests/run_enhanced_tests.sh,463,standard,Function definition
setup_test_environment,./tests/run_enhanced_tests.sh,493,standard,Function definition
main,./tests/run_enhanced_tests.sh,512,standard,Function definition
setup_performance_tests,./tests/performance/benchmark_test.sh,35,standard,Function definition
cleanup_performance_tests,./tests/performance/benchmark_test.sh,46,standard,Function definition
assert_performance,./tests/performance/benchmark_test.sh,51,standard,Function definition
test_config_parsing_performance,./tests/performance/benchmark_test.sh,76,standard,Function definition
test_cpu_plugin_performance,./tests/performance/benchmark_test.sh,92,standard,Function definition
test_memory_plugin_performance,./tests/performance/benchmark_test.sh,107,standard,Function definition
test_json_processing_performance,./tests/performance/benchmark_test.sh,122,standard,Function definition
test_memory_usage,./tests/performance/benchmark_test.sh,140,standard,Function definition
test_concurrent_execution,./tests/performance/benchmark_test.sh,172,standard,Function definition
test_load_performance,./tests/performance/benchmark_test.sh,230,standard,Function definition
main,./tests/performance/benchmark_test.sh,275,standard,Function definition
create_http_mock,./tests/helpers/test_helpers.sh,17,standard,Function definition
stop_http_mock,./tests/helpers/test_helpers.sh,42,standard,Function definition
create_mock_responses,./tests/helpers/test_helpers.sh,55,standard,Function definition
generate_random_config,./tests/helpers/test_helpers.sh,104,standard,Function definition
generate_test_metrics,./tests/helpers/test_helpers.sh,148,standard,Function definition
test_property,./tests/helpers/test_helpers.sh,213,standard,Function definition
measure_execution_time,./tests/helpers/test_helpers.sh,243,standard,Function definition
monitor_memory_usage,./tests/helpers/test_helpers.sh,261,standard,Function definition
simulate_network_failure,./tests/helpers/test_helpers.sh,285,standard,Function definition
simulate_disk_full,./tests/helpers/test_helpers.sh,299,standard,Function definition
simulate_cpu_load,./tests/helpers/test_helpers.sh,308,standard,Function definition
create_isolated_environment,./tests/helpers/test_helpers.sh,327,standard,Function definition
cleanup_isolated_environment,./tests/helpers/test_helpers.sh,342,standard,Function definition
run_tests_parallel,./tests/helpers/test_helpers.sh,355,standard,Function definition
track_function_calls,./tests/helpers/test_helpers.sh,395,standard,Function definition
generate_coverage_report,./tests/helpers/test_helpers.sh,403,standard,Function definition
cleanup_test_helpers,./tests/helpers/test_helpers.sh,454,standard,Function definition
tui_logs,./lib/ui/tui/logs.sh,6,standard,Function definition
tui_show_message,./lib/ui/tui/utils.sh,6,standard,Function definition
tui_plugin_management,./lib/ui/tui/plugin.sh,11,standard,Function definition
tui_list_plugins,./lib/ui/tui/plugin.sh,69,standard,Function definition
_get_available_plugins,./lib/ui/tui/plugin.sh,90,standard,Function definition
_get_enabled_plugins,./lib/ui/tui/plugin.sh,108,standard,Function definition
_update_plugins_config,./lib/ui/tui/plugin.sh,121,standard,Function definition
tui_enable_plugin,./lib/ui/tui/plugin.sh,167,standard,Function definition
tui_disable_plugin,./lib/ui/tui/plugin.sh,250,standard,Function definition
tui_configure_plugin,./lib/ui/tui/plugin.sh,315,standard,Function definition
tui_test_plugin,./lib/ui/tui/plugin.sh,411,standard,Function definition
tui_system_info,./lib/ui/tui/sysinfo.sh,11,standard,Function definition
init_advanced_tui,./lib/ui/tui/advanced_tui.sh,36,standard,Function definition
handle_tui_exit,./lib/ui/tui/advanced_tui.sh,87,standard,Function definition
handle_tui_resize,./lib/ui/tui/advanced_tui.sh,101,standard,Function definition
get_terminal_size,./lib/ui/tui/advanced_tui.sh,117,standard,Function definition
start_advanced_tui,./lib/ui/tui/advanced_tui.sh,128,standard,Function definition
show_dashboard,./lib/ui/tui/advanced_tui.sh,176,standard,Function definition
draw_header,./lib/ui/tui/advanced_tui.sh,212,standard,Function definition
draw_system_status_panel,./lib/ui/tui/advanced_tui.sh,240,standard,Function definition
draw_resource_usage_panel,./lib/ui/tui/advanced_tui.sh,276,standard,Function definition
draw_metric_bar,./lib/ui/tui/advanced_tui.sh,308,standard,Function definition
draw_activity_panel,./lib/ui/tui/advanced_tui.sh,343,standard,Function definition
draw_navigation_menu,./lib/ui/tui/advanced_tui.sh,369,standard,Function definition
draw_footer,./lib/ui/tui/advanced_tui.sh,381,standard,Function definition
handle_dashboard_input,./lib/ui/tui/advanced_tui.sh,389,standard,Function definition
show_plugin_screen,./lib/ui/tui/advanced_tui.sh,426,standard,Function definition
